Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/test,86246,58385,1,5.502307640182012,0.29716710560023785,321.7143330257386,27.458490828560166,481.4391251910255,325.9145157372866,1,2,2,3,12,26,46,110,180,290,320
,Aggregated,86246,58385,1,5.502307640182012,0.29716710560023785,321.7143330257386,27.458490828560166,481.4391251910255,325.9145157372866,1,2,2,3,12,26,46,110,180,290,320
